Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
372.75	1.0000	0.065875	15.180	3465.5	5003.7	56.596	10.332	14.457	1467.4	-0.082109	1.0382e-05	0.22123	vapor
373.63	1.0000	0.065720	15.216	3474.6	5016.4	56.631	10.333	14.458	1469.1	-0.082278	1.0398e-05	0.22166	vapor
374.51	1.0000	0.065566	15.252	3483.7	5029.1	56.665	10.333	14.458	1470.9	-0.082447	1.0415e-05	0.22208	vapor
375.39	1.0000	0.065412	15.288	3492.8	5041.8	56.698	10.334	14.459	1472.6	-0.082614	1.0432e-05	0.22251	vapor
376.27	1.0000	0.065259	15.323	3501.9	5054.6	56.732	10.335	14.460	1474.3	-0.082781	1.0448e-05	0.22293	vapor
377.15	1.0000	0.065107	15.359	3511.0	5067.3	56.766	10.336	14.461	1476.0	-0.082946	1.0465e-05	0.22336	vapor
378.03	1.0000	0.064956	15.395	3520.1	5080.0	56.800	10.336	14.461	1477.7	-0.083111	1.0482e-05	0.22379	vapor
378.91	1.0000	0.064805	15.431	3529.2	5092.7	56.833	10.337	14.462	1479.4	-0.083274	1.0498e-05	0.22421	vapor
379.79	1.0000	0.064655	15.467	3538.3	5105.5	56.867	10.338	14.463	1481.1	-0.083437	1.0515e-05	0.22464	vapor
380.67	1.0000	0.064505	15.503	3547.4	5118.2	56.900	10.338	14.463	1482.8	-0.083598	1.0531e-05	0.22506	vapor
381.55	1.0000	0.064357	15.538	3556.5	5130.9	56.934	10.339	14.464	1484.5	-0.083759	1.0548e-05	0.22546	vapor
382.43	1.0000	0.064209	15.574	3565.6	5143.7	56.967	10.339	14.464	1486.2	-0.083918	1.0564e-05	0.22587	vapor
383.31	1.0000	0.064061	15.610	3574.7	5156.4	57.000	10.340	14.465	1487.9	-0.084077	1.0581e-05	0.22628	vapor
384.19	1.0000	0.063915	15.646	3583.8	5169.1	57.034	10.341	14.466	1489.6	-0.084234	1.0597e-05	0.22669	vapor
385.07	1.0000	0.063769	15.682	3592.9	5181.8	57.067	10.341	14.466	1491.3	-0.084391	1.0614e-05	0.22710	vapor
